API10,API12,Abstract,ActiveCommonName,ActiveTickerName,AmendmentFiledDate,ApprovedDate,Block,BottomHoleLatitudeWGS84,BottomHoleLongitudeWGS84,ContactName,ContactPhone,CountyParish,CreatedDate,DIBasin,DICountryCode,DICountryName,DICountyParishName,DIPlay,DIStateProvinceCode,DIStateProvinceName,DISubPlay,DeletedDate,District,DrillType,ExpiredDate,Field,Formation,H2SArea,LeaseName,LeaseNumber,OFSRegion,OperatorAddress,OperatorAlias,OperatorCity,OperatorCity30mi,OperatorCity50mi,OperatorState,OperatorZip,OrigApprovedDate,PermitDepth,PermitDepthUOM,PermitID,PermitNumber,PermitStatus,PermitType,Range,ReportedOperator,Section,StateProvince,SubmittedDate,SurfaceLatitudeWGS84,SurfaceLongitudeWGS84,Survey,Township,TrueVerticalDepth,TrueVerticalDepthUOM,UpdatedDate,WGID,WellNumber,WellStatus,WellType
4232942200,,1005,EXXON MOBIL,XOM,2018-07-10T00:00:00Z,2018-01-08T00:00:00Z,38 T4S,31.7346414,-101.920861,JESSICA BONILLA,4326206704,MIDLAND,2018-07-11T09:50:39.247Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-08T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,LHS RANCH 27-21 ALLOCATION 2103,50837,PERMIAN BASIN,"ATT LAND MANAGER-LOC.115
22777 SPRINGWOODS VILLAGE PKWY",XTO ENERGY,SPRING,,Houston,TX,77389,2018-01-08T00:00:00Z,10200,ft,1360404,834652,Expired,NewDrill,,XTO ENERGY INC.,28,TX,2017-12-29T00:00:00Z,31.71331,-101.91383,"T&P RR CO / WEST, J M",,9194,ft,2020-08-10T07:39:23.707Z,18987700,2113AH,ACTIVE,OIL
4232942199,,1005,EXXON MOBIL,XOM,2018-03-15T00:00:00Z,2018-01-08T00:00:00Z,38 T4S,31.7346414,-101.920861,JESSICA BONILLA,4326206704,MIDLAND,2018-03-16T20:14:00.84Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-08T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,LHS RANCH 27-21 ALLOCATION 2103,50837,PERMIAN BASIN,"ATT LAND MANAGER-LOC.115
22777 SPRINGWOODS VILLAGE PKWY",XTO ENERGY,SPRING,,Houston,TX,77389,2018-01-08T00:00:00Z,10200,ft,1360384,834651,Expired,NewDrill,,XTO ENERGY INC.,28,TX,2017-12-29T00:00:00Z,31.7133336,-101.9137387,"T&P RR CO / WEST, J M",,9525,ft,2020-08-10T07:39:23.707Z,18987699,2103BH,ACTIVE,OIL
4232942198,,1005,EXXON MOBIL,XOM,2018-04-10T00:00:00Z,2018-01-08T00:00:00Z,38 T4S,31.7341564,-101.9229112,JESSICA BONILLA,4326206704,MIDLAND,2018-04-11T19:45:21Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-08T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,LHS RANCH 27-21 ALLOCATION 2102,50826,PERMIAN BASIN,"ATT LAND MANAGER-LOC.115
22777 SPRINGWOODS VILLAGE PKWY",XTO ENERGY,SPRING,,Houston,TX,77389,2018-01-08T00:00:00Z,10200,ft,1360383,834650,Expired,NewDrill,,XTO ENERGY INC.,28,TX,2017-12-29T00:00:00Z,31.7124836,-101.9156488,"T&P RR CO / WEST, J M",,9333,ft,2020-08-10T07:39:23.707Z,18987698,2112AH,ACTIVE,OIL
4232942197,,1005,EXXON MOBIL,XOM,2018-03-15T00:00:00Z,2018-01-08T00:00:00Z,38 T4S,31.7341564,-101.9229112,JESSICA BONILLA,4326206704,MIDLAND,2018-03-16T20:14:00.84Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-08T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,LHS RANCH 27-21 ALLOCATION 2102,50826,PERMIAN BASIN,"ATT LAND MANAGER-LOC.115
22777 SPRINGWOODS VILLAGE PKWY",XTO ENERGY,SPRING,,Houston,TX,77389,2018-01-08T00:00:00Z,10200,ft,1360382,834649,Expired,NewDrill,,XTO ENERGY INC.,28,TX,2017-12-29T00:00:00Z,31.71246,-101.91575,"T&P RR CO/WEST, J M",,9677,ft,2020-08-10T07:39:23.707Z,18987697,2102BH,ACTIVE,OIL
4232942191,,826,CONCHO RESOURCES,CXO,,2018-01-18T00:00:00Z,40 T2S,31.9836336,-102.1805136,CELESTE DALE,4328181312,MIDLAND,2018-01-19T09:16:45.273Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-18T00:00:00Z,SPRABERRY,TREND AREA,FALSE,SPANISH TRAIL,51948,PERMIAN BASIN,1CC 600 W ILLINOIS AVE,RSP PERMIAN,MIDLAND,Midland,Midland,TX,79701,2018-01-18T00:00:00Z,12000,ft,1360263,834531,Expired,NewDrill,,"RSP PERMIAN, LLC",2,TX,2017-12-21T00:00:00Z,31.9563492,-102.1712663,"T&P RR CO/SCHARBAUER, C",,9528,ft,2020-08-10T07:39:23.707Z,18988728,2191H,ACTIVE,OIL & GAS
4232942192,,826,CONCHO RESOURCES,CXO,,2018-01-18T00:00:00Z,40 T2S,31.9838959,-102.1794242,CELESTE DALE,4328181312,MIDLAND,2018-01-19T09:16:45.273Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-18T00:00:00Z,SPRABERRY,TREND AREA,FALSE,SPANISH TRAIL,51948,PERMIAN BASIN,1CC 600 W ILLINOIS AVE,RSP PERMIAN,MIDLAND,Midland,Midland,TX,79701,2018-01-18T00:00:00Z,12000,ft,1360254,834532,Expired,NewDrill,,"RSP PERMIAN, LLC",2,TX,2017-12-21T00:00:00Z,31.9563789,-102.1711425,"T&P RR CO/SCHARBAUER, C",,9672,ft,2020-08-10T07:39:23.707Z,18988699,2192H,ACTIVE,OIL & GAS
4232942188,,62,ENDEAVOR ENERGY RESOURCES,,,2017-12-22T00:00:00Z,39 T2S,31.9935278,-102.1065683,RONDA WHITE,4322624133,MIDLAND,2017-12-24T09:02:43.39Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,WINDOWPANE 4-33 UNIT 1,50533,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-12-22T00:00:00Z,11000,ft,1360196,834473,Expired,NewDrill,,ENDEAVOR ENERGY RESOURCES L.P.,9,TX,2017-12-20T00:00:00Z,31.9650787,-102.0927755,T&P RR CO,,9037,ft,2020-08-10T07:39:23.707Z,18986828,142,ACTIVE,OIL
4232942190,,1025,HENRY RESOURCES LLC,,,2018-01-05T00:00:00Z,41 T2S,31.8957762,-102.2630651,JEREMY MORROW,4326943000,MIDLAND,2018-01-06T19:58:57.773Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-05T00:00:00Z,PARKS,CONSOLIDATED,FALSE,GWENDOLYN,44965,PERMIAN BASIN,3525 ANDREWS HIGHWAY,HENRY RESOURCES,MIDLAND,Midland,Midland,TX,79703,2018-01-05T00:00:00Z,12500,ft,1360195,834472,Expired,NewDrill,,HENRY RESOURCES LLC,26,TX,2017-12-20T00:00:00Z,31.873394,-102.2562787,"T&P RR CO / EDWARDS, J",,9078,ft,2020-08-10T07:39:23.707Z,18987525,2618LB,ACTIVE,OIL & GAS
4232942189,,62,ENDEAVOR ENERGY RESOURCES,,,2017-12-22T00:00:00Z,39 T2S,31.9935747,-102.1055617,RONDA WHITE,4322624133,MIDLAND,2017-12-24T09:02:43.39Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,WINDOWPANE 4-33 UNIT 1,50533,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-12-22T00:00:00Z,11000,ft,1360172,834474,Expired,NewDrill,,ENDEAVOR ENERGY RESOURCES L.P.,9,TX,2017-12-20T00:00:00Z,31.9651187,-102.0927882,T&P RR CO,,9737,ft,2020-08-10T07:39:23.707Z,18986829,241,ACTIVE,OIL
4232942187,,1390,"INDEPENDENCE RESOURCES MGMT, LLC",,2018-01-31T00:00:00Z,2017-12-22T00:00:00Z,40 T1S,32.0310011,-102.2682487,NANCY GATTI,8329162237,MIDLAND,2018-02-01T20:24:15.357Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,MIDKIFF,38763,PERMIAN BASIN,11450 COMPAQ CENTER W DR STE470,INDEPENDENCE RESOURCES MGMT ,HOUSTON,Houston,Houston,TX,77070-1445,2017-12-22T00:00:00Z,11000,ft,1360167,834445,Expired,NewDrill,,"INDEPENDENCE RESOURCES MGMT, LLC",18,TX,2017-12-19T00:00:00Z,32.017477,-102.2636824,"T&P RR CO/AYCOCK, B M",,9235,ft,2020-08-10T07:39:23.707Z,18986765,3LS,ACTIVE,OIL & GAS
